"# The axTLS is a highly configurable Transport Layer Security (TLS) version 1 SSL library for embedded devices"

Requirement ID,Requirement Specification,Rule,Parent Feature,Children Features,Source of Requirement
"AXTLS-8.1","The axSSL sample generation may select the C language sample","R3","axSSL_Sample_Generation","C_Language_Sample","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-8.2","The axSSL sample generation may select the C# language sample","R3","axSSL_Sample_Generation","CSharp_Language_Sample","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-8.3","The axSSL sample generation may select the VB .NET language sample","R3","axSSL_Sample_Generation","VB_NET_Language_Sample","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-8.4","The axSSL sample generation may select the Jave language sample","R3","axSSL_Sample_Generation","Java_Language_Sample","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-8.5","The axSSL sample generation may select the Perl language sample","R3","axSSL_Sample_Generation","Perl_Language_Sample","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-8.6","The axSSL sample generation may select the LUA language sample","R3","axSSL_Sample_Generation","LUA_Language_Sample","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-9","The axTLS may use the big-integer options","R3","axTLS","Big_Integer_Options","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-9.1","The big-integer options may use the reduction algorithm","R2","Big_Integer_Options","Reduction_Algorithm","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-9.1.1","The reduction algorithm shall use one and only one of the Classical algorithm, the Montgomery algorithm or the Barrett algorithm","R4","Reduction_Algorithm","Classical_Algo, Montgomery_Algo, Barrett_Algo","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-9.2","The big-integer options may use the Chinese_Remainder_Theorem (CRT)","R3","Big_Integer_Options","Chinese_Remainder_Theorem","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-9.3","The big-integer options may use the Karatsuba multiplication","R3","Big_Integer_Options","Karatsuba_Multiplication","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-9.4","The big-integer options may use the sliding window exponentiation","R3","Big_Integer_Options","Sliding_Window_Exponentiation","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-9.5","The big-integer options may use the square algorithm","R3","Big_Integer_Options","Square_Algorithm","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-9.6","The big-integer options may use the big-integer integrity check","R3","Big_Integer_Options","Big_Integer_Integrity_Check","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-9.7","The big-integer options shall define the big-integer size","R2","Big_Integer_Options","Big_Integer_Size","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-9.7.1","The big-integer size shall select one and only one of the 8-bit integer, the 16-bit integer or the 32-bit integer","R4","Big_Integer_Size","Int_8_Bit, Int_16_Bit, Int_32_Bit","synthesized from axTLS-2.1.5 menuconfig"
"AXTLS-10","The Win32 OS excludes the common gateway interface (CGI)","R7","Win32_OS","CGI","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-11","The Win32 OS excludes the IPv6","R7","Win32_OS","IPv6","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-12","The Win32 OS excludes the LUA bindings","R7","Win32_OS","LUA_Bindings","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-13","The Win32 OS excludes the axTLS wrap","R7","Win32_OS","axTLS_Wrap","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-14","The Win32 OS excludes the daemon process","R7","Win32_OS","Daemon_Process","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-15","The Win32 OS excludes the /dev/urandom","R7","Win32_OS","dev_urandom","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-16","The Win32 OS excludes the different user","R7","Win32_OS","Different_User","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-17","The skeleton mode excludes the PEM format","R7","Skeleton_Mode","PEM_Format","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-18","The skeleton mode excludes the PKCS12 format","R7","Skeleton_Mode","PKCS12_Format","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-19","The skeleton mode excludes the big-integer options","R7","Skeleton_Mode","Big_Integer_Options","synthesized from axTLS-2.1.5 BigIntConfig.In"
"AXTLS-20","The skeleton mode excludes the SSL protocol","R7","Skeleton_Mode","SSL_Protocol","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-21","The debug mode excludes the unwanted section stripping","R7","Debug_Mode","Unwanted_Section_Stripping","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-22","The C# language sample requires the C# bindings","R7","CSharp_Language_Sample","CSharp_Bindings","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-23","The VB .NET language sample requires the VB .NET bindings","R7","VB_NET_Language_Sample","VB_NET_Bindings","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-24","The Java language sample requires the Java bindings","R7","Java_Language_Sample","Java_Bindings","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-25","The Perl language sample requires the Perl bindings","R7","Perl_Language_Sample","Perl_Bindings","synthesized from axTLS-2.1.5 Config.In"
"AXTLS-26","The LUA language sample requires the LUA bindings","R7","LUA_Language_Sample","LUA_Bindings","synthesized from axTLS-2.1.5 Config.In"
